City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,81.95,69,93,1.01,US,1722708215
1,adamstown,-25.066,-130.1015,69.35,72,6,13.73,PN,1722708216
2,port-aux-francais,-49.35,70.2167,37.22,81,86,23.29,TF,1722708217
3,susuman,62.7833,148.1667,38.03,77,13,1.5,RU,1722708219
4,blackmans bay,-43.0167,147.3167,46.53,77,100,8.39,AU,1722708220
5,el calafate,-50.3408,-72.2768,36.54,94,100,1.07,AR,1722708221
6,mount horeb,43.0086,-89.7385,84.99,65,0,4.0,US,1722708222
7,cidreira,-30.1811,-50.2056,70.95,68,0,12.15,BR,1722708225
8,nar'yan-mar,67.6713,53.087,51.37,78,13,18.03,RU,1722708226
9,mossel bay,-34.1831,22.146,57.13,53,77,9.17,ZA,1722708227
10,georgetown,5.4112,100.3354,80.53,82,20,3.44,MY,1722708229
11,undurkhaan,47.3194,110.6556,62.74,78,64,5.01,MN,1722708230
12,sydney,-33.8679,151.2073,46.36,87,42,9.22,AU,1722708101
13,margaret river,-33.95,115.0667,51.48,69,59,1.7,AU,1722708168
14,hawaiian paradise park,19.5933,-154.9731,74.89,99,100,3.44,US,1722708233
15,waitangi,-43.9535,-176.5597,46.81,82,68,4.0,NZ,1722708234
16,tolanaro,-25.0319,46.9987,69.87,88,20,0.0,MG,1722708236
17,banikoara,11.2985,2.4386,74.14,92,100,4.43,BJ,1722708237
18,grytviken,-54.2811,-36.5092,24.46,95,100,10.92,GS,1722708238
19,ta`u,-14.2336,-169.5144,80.67,61,97,10.67,AS,1722708239
20,hulyaypole,47.6653,36.2578,81.61,32,59,14.54,UA,1722708240
21,scottburgh,-30.2867,30.7532,66.83,86,3,17.25,ZA,1722708242
22,tome acu,-2.4189,-48.1522,97.0,25,6,4.94,BR,1722708243
23,olonkinbyen,70.9221,-8.7187,41.63,89,65,10.58,SJ,1722708244
24,nogliki,51.8333,143.1667,50.34,77,100,3.42,RU,1722708245
25,papatowai,-46.5619,169.4708,41.83,80,96,5.75,NZ,1722708246
26,constantia,44.1833,28.65,79.7,60,79,21.23,RO,1722708248
27,kirishi,59.4471,32.0205,61.14,90,98,1.77,RU,1722708249
28,boguchany,58.3814,97.4531,53.28,87,0,1.79,RU,1722708250
29,thompson,55.7435,-97.8558,62.76,48,75,14.97,CA,1722708251
30,ust-nera,64.5667,143.2,44.69,74,12,5.26,RU,1722708252
31,kodiak,57.79,-152.4072,54.91,71,75,4.61,US,1722708254
32,omuo-ekiti,7.7583,5.7223,71.4,92,87,8.79,NG,1722708255
33,bikenibeu village,1.3673,173.1241,82.36,78,20,6.91,KI,1722708256
34,chonchi,-42.6128,-73.8092,48.11,91,93,4.29,CL,1722708257
35,hermanus,-34.4187,19.2345,44.8,72,52,3.94,ZA,1722708258
